cctvid,관측소_거리,버스정류장_이용객수,지하철역_지표,학교_거리,처리시설_개수,CAI
15290,5823.26177685629,1849,1113.7636839970216,0.0087256670395648,0,59.23637045614036
26837,2399.93774087679,597,6252.75241954227,0.0009745676281235,1,58.61617283552632
24093,1533.71872533274,11,208.93246252776677,0.0011060348829849,0,58.361945254385965
18445,6440.43904027342,18,578.7157838269408,0.0093798002842289,0,59.497764932017546
18736,934.894656482566,780,619.826913926454,0.0013207951708008,0,58.83298891666667
13015,5278.20496817998,1563,2211.310928287416,0.0015873238946222,0,58.551960484649115
38739,12140.3668415493,1,236.71416841595007,0.0014642283807165,0,59.74207656798246
32355,6491.02357151994,16,3377.727758040314,0.0011208820470692,0,61.461960771929824
12740,8165.58129599291,1541,616.4971944726481,0.004708876101445,0,60.39523668201754
6810,8659.97594473326,1319,1579.5899335174488,0.0016181392245059,0,61.00120807675439
