소재지지번주소,위도,경도,cctvid
경기도 양평군 단월면 봉상리 444-1전,37.51487506,127.6397126,21611
경기도 오산시 은계동 44-1번지,37.16169698,127.0723237,24610
경기도 이천시 부발읍 고백리 48-2번지,37.295299,127.5413403,28846
경기도 용인시 기흥구 구갈동 344-1,37.2830887,127.1125465,24722
경기도 파주시 동패동 1709,37.72125802,126.7202989,30246
경기도 평택시 현화리 823-2,36.98523254,126.9206107,33264
경기도 화성시 송산면 사강리 572-14,37.21648668,126.7328054,36756
경기도 파주시 조리읍 대원리 728-6번지,37.73251374,126.8078087,31085
경기도 성남시 분당구 야탑3동 197-2(버스정류장),37.408131,127.142901,9739
경기도 과천시 문원동 15-39(이주1단지),37.43012647,127.0037111,1688
경기도 의정부시 가능동 684-28,37.74717524,127.0325895,27139
경기도 화성시 영천동 757-1,37.20316904,127.127255,37231
경기도 화성시 남양읍 송림리 326-1,37.22348896,126.8237419,34732
경기도 평택시 비전동 828-2,36.99632714,127.1099597,31895
경기도 수원시 권선구 호매실동 1397-2,37.25876444,126.9643187,11959
경기도 화성시 송산면 신천리 477-1,37.24592582,126.7222299,36806
경기도 안산시 상록구 수암동 277-2,37.36414173,126.8831574,17127
경기도 남양주시 와부읍 율석리 530-1,37.61175247,127.2182287,6238
경기도 의정부시 용현동 148-2,37.72868881,127.0829664,27709
경기도 수원시 팔달구 고등동 261-10,37.26951394,126.99906,13792
경기도 군포시 당동 409-3,37.34850677,126.9378179,3887
경기도 화성시 서신면 제부리 127,37.16699207,126.6211803,36472
경기도 수원시 장안구 율전동 285-8,37.29825196,126.9718129,13251
경기도 의왕시 포일동 170-1번지,37.39050409,126.9896699,26925
경기도 화성시 목동 336,37.17958113,127.1256591,35250
경기도 수원시 영통구 원천동 626,37.27126489,127.062727,12660
경기도 파주시  상지석동 177-192,37.72959458,126.7852887,29913
경기도 안양시 만안구 안양5동 627-311,37.39503581,126.9222725,20276
경기도 화성시 팔탄면 매곡리 147-3,37.1159473,126.8871835,38214
경기도 파주시 덕은리 338-4,37.8007197,126.7813651,30213
경기도 이천시 신둔면 고척리 86-2,37.2897247,127.3855943,29160
경기도 양평군 옥천면 옥천리 산16임,37.51924477,127.4554553,22671
경기도 가평군 청평면 청평리 745,37.74310069,127.4232839,472
경기도 남양주시 진접읍 장현리 46번지,37.72991026,127.194329,6527
경기도 포천시 일동면 기산리 286-9번지,37.9551577,127.3181264,33782
경기도 평택시 비전동 1039,37.00284926,127.1086563,31783
경기도 의정부시 가능동 656,37.7493773,127.0368538,27120
경기도 남양주시 별내동 848-10,37.66513439,127.1146786,5887
경기도 안성시 공도읍 승두리 800-38(공도우체국),36.99935774,127.1722492,17736
경기도 화성시 향남읍 상신리 1277-1,37.10801106,126.9015903,38491
경기도 성남시 중원구 하대원동 132-6번지 광주공판장 옆,37.4302802,127.1503908,10877
경기도 수원시 장안구 이목동 산119,37.31376221,126.9864796,13331
경기도 남양주시 수동면 송천리 산2,37.69157757,127.3655671,6003
경기도 동두천시 생연동 818-62번지,37.90381593,127.050544,7316
경기도 평택시 옥길리 1253,37.02396163,126.9243856,32578
경기도 안성시 대천동 138,37.00836341,127.2693399,18107
경기도 성남시 수정구 태평4동 7362번지(성남초등학교),37.447942,127.141431,10507
경기도 수원시 권선구 권선동 1161,37.25637523,127.0322673,11207
경기도 광주시 장지동 70-10,37.38945221,127.2318984,2916
경기도 과천시 갈현동 319-4도 통신부대사거리2,37.41182766,126.980754,1558
경기도 의왕시 내손동 692-16번지 동아다세대,37.38304989,126.977673,26535
경기도 용인시 기흥구 보라동 612 보라중학교 앞,37.249903,127.107112,24895
경기도 평택시 해창리 1040-5,37.03768325,127.0141444,33216
경기도 평택시 동삭동 467-9,37.02212194,127.087366,31571
경기도 수원시 영통구 매탄동 260-9,37.26445558,127.0519088,12328
경기도 평택시 도곡리 1137-1,36.99138395,126.8450253,31454
경기도 포천시 소흘읍 직동리 547번지,37.7630376,127.171138,33581
경기도 광주시 쌍령동 109-13대,37.40431705,127.2695892,2831
경기도 의정부시 신곡동 353-63,37.73154176,127.059493,27593
경기도 파주시 내포리 1636-7,37.83803725,126.7790257,30114
경기도 구리시 수택동 404-3,37.60050112,127.1405753,3420
경기도 안성시 당왕동 536-1(비룡중학교 정문),37.01575127,127.2627639,17965
경기도 부천시 소사본동 91-124,37.4805661,126.7908518,8195
경기도 수원시 권선구 입북동 388-4,37.29375781,126.9499775,11835
경기도 평택시 권관리 581,36.91818257,126.9076012,31298
경기도 안성시 금산동 108-9,37.01230144,127.268268,17915
경기도 의정부시 민락동 736-2,37.73975218,127.0892716,27445
경기도 광명시 일직동 163-3번지,37.42081228,126.8859779,2266
경기도 부천시 원종동 산 59,37.52053407,126.8116164,9050
경기도 안산시 단원구 선부동 976-6,37.3379873,126.8018277,15879
경기도 수원시 팔달구 고등동 303-15,37.27071065,127.0021201,13803
경기도 양평군 용문면 다문리 7-4,37.48700955,127.6055231,22765
경기도 용인시 수지구 동천동 824 GDA어학원 입구 삼거리,37.343175,127.065027,25411
